MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,SecondHalf,Time_StartofSim,Time_UntilCap,CapOn,OLE_Rate
6-4-85-1,6,4,0.7377,0.2623,14.6302,12.37182,1,0,0,85,0,0.63
7-4-85-1,7,4,0.83562,0.16438,14.867532,11.52654,1,0,0,85,0,0.63
8-4-85-1,8,4,0.905696,0.094304,14.972656,10.606724,1,1,0,85,0,0.63
9-4-85-1,9,4,0.953012,0.046988,15.006564,9.616432,1,1,0,85,0,0.63
10-4-85-1,10,4,0.980744,0.019256,15.012288,8.60682,1,1,0,85,0,0.63
11-4-85-1,11,4,0.99348,0.00652,15.006684,7.60304,1,1,0,85,0,0.63
12-4-85-1,12,4,0.998404,0.001596,15.002144,6.587788,1,1,0,85,0,0.63
13-4-85-1,13,4,0.99972,0.00028,15.000424,5.586532,1,1,0,85,0,0.63
14-4-85-1,14,4,0.999976,2.40E-05,15.000064,4.588512,1,1,0,85,0,0.63
0-5-85-1,0,5,0.083984,0.916016,9.484196,14.855812,1,0,0,85,0,0.63
1-5-85-1,1,5,0.131036,0.868964,10.46782,14.794832,1,0,0,85,0,0.63
2-5-85-1,2,5,0.193708,0.806292,11.4062,14.694988,1,0,0,85,0,0.63
3-5-85-1,3,5,0.277784,0.722216,12.304852,14.51082,1,0,0,85,0,0.63
4-5-85-1,4,5,0.379628,0.620372,13.104376,14.23128,1,0,0,85,0,0.63
5-5-85-1,5,5,0.504476,0.495524,13.821856,13.788944,1,0,0,85,0,0.63
6-5-85-1,6,5,0.632884,0.367116,14.359176,13.182764,1,0,0,85,0,0.63
7-5-85-1,7,5,0.753632,0.246368,14.730548,12.435472,1,0,0,85,0,0.63
8-5-85-1,8,5,0.849256,0.150744,14.92066,11.570148,1,1,0,85,0,0.63
9-5-85-1,9,5,0.918628,0.081372,14.999484,10.626344,1,1,0,85,0,0.63
10-5-85-1,10,5,0.964156,0.035844,15.017364,9.61614,1,1,0,85,0,0.63
11-5-85-1,11,5,0.986956,0.013044,15.012836,8.60304,1,1,0,85,0,0.63
12-5-85-1,12,5,0.996224,0.003776,15.004856,7.596452,1,1,0,85,0,0.63
13-5-85-1,13,5,0.999304,0.000696,15.001048,6.589068,1,1,0,85,0,0.63
14-5-85-1,14,5,0.999952,4.80E-05,15.000132,5.587088,1,1,0,85,0,0.63
0-6-85-1,0,6,0.046896,0.953104,8.566032,14.9518,1,0,0,85,0,0.63
1-6-85-1,1,6,0.076064,0.923936,9.54532,14.926328,1,0,0,85,0,0.63
2-6-85-1,2,6,0.119836,0.880164,10.532032,14.8783,1,0,0,85,0,0.63
3-6-85-1,3,6,0.17956,0.82044,11.472472,14.792136,1,0,0,85,0,0.63
4-6-85-1,4,6,0.264052,0.735948,12.379588,14.62488,1,0,0,85,0,0.63
5-6-85-1,5,6,0.373736,0.626264,13.211476,14.339696,1,0,0,85,0,0.63
6-6-85-1,6,6,0.504044,0.495956,13.923976,13.890968,1,0,0,85,0,0.63
7-6-85-1,7,6,0.643516,0.356484,14.477288,13.271456,1,0,0,85,0,0.63
8-6-85-1,8,6,0.770032,0.229968,14.819812,12.492172,1,1,0,85,0,0.63
9-6-85-1,9,6,0.865288,0.134712,14.96946,11.613812,1,1,0,85,0,0.63
10-6-85-1,10,6,0.933284,0.066716,15.020984,10.633328,1,1,0,85,0,0.63
11-6-85-1,11,6,0.973288,0.026712,15.020268,9.622912,1,1,0,85,0,0.63
12-6-85-1,12,6,0.991716,0.008284,15.010484,8.607604,1,1,0,85,0,0.63
13-6-85-1,13,6,0.998416,0.001584,15.002928,7.589812,1,1,0,85,0,0.63
14-6-85-1,14,6,0.999856,0.000144,15.000336,6.587164,1,1,0,85,0,0.63
0-7-85-1,0,7,0.0232,0.9768,7.595612,14.990828,1,0,0,85,0,0.63
1-7-85-1,1,7,0.039736,0.960264,8.59074,14.984052,1,0,0,85,0,0.63
2-7-85-1,2,7,0.066716,0.933284,9.593104,14.969848,1,0,0,85,0,0.63
3-7-85-1,3,7,0.105548,0.894452,10.56676,14.93948,1,0,0,85,0,0.63
4-7-85-1,4,7,0.166124,0.833876,11.532076,14.862468,1,0,0,85,0,0.63
5-7-85-1,5,7,0.250396,0.749604,12.44854,14.71878,1,0,0,85,0,0.63
6-7-85-1,6,7,0.360996,0.639004,13.286536,14.455376,1,0,0,85,0,0.63
7-7-85-1,7,7,0.509616,0.490384,14.053084,13.987368,1,0,0,85,0,0.63
8-7-85-1,8,7,0.660996,0.339004,14.610688,13.341612,1,1,0,85,0,0.63
9-7-85-1,9,7,0.78414,0.21586,14.884724,12.561112,1,1,0,85,0,0.63
10-7-85-1,10,7,0.88234,0.11766,15.008,11.648588,1,1,0,85,0,0.63
11-7-85-1,11,7,0.947836,0.052164,15.031512,10.644856,1,1,0,85,0,0.63
12-7-85-1,12,7,0.98254,0.01746,15.0201,9.61976,1,1,0,85,0,0.63
13-7-85-1,13,7,0.99624,0.00376,15.006232,8.595036,1,1,0,85,0,0.63
14-7-85-1,14,7,0.999564,0.000436,15.000784,7.587116,1,1,0,85,0,0.63
0-8-85-1,0,8,0.013588,0.986412,7.001576,15.003716,1,1,0,85,0,0.63
1-8-85-1,1,8,0.024432,0.975568,8.019828,15.002612,1,1,0,85,0,0.63
2-8-85-1,2,8,0.04206,0.95794,9.021088,15.000004,1,1,0,85,0,0.63
3-8-85-1,3,8,0.072368,0.927632,10.022568,14.98736,1,1,0,85,0,0.63
4-8-85-1,4,8,0.117368,0.882632,10.992628,14.951012,1,1,0,85,0,0.63
5-8-85-1,5,8,0.183564,0.816436,11.950132,14.877956,1,1,0,85,0,0.63
6-8-85-1,6,8,0.274108,0.725892,12.834708,14.733092,1,1,0,85,0,0.63
7-8-85-1,7,8,0.390504,0.609496,13.626108,14.474468,1,1,0,85,0,0.63
8-8-85-1,8,8,0.53006,0.46994,14.268672,14.047864,1,1,0,85,0,0.63
9-8-85-1,9,8,0.674316,0.325684,14.716204,13.43272,1,1,0,85,0,0.63
10-8-85-1,10,8,0.802964,0.197036,14.961388,12.634492,1,1,0,85,0,0.63
11-8-85-1,11,8,0.902568,0.097432,15.042488,11.671156,1,1,0,85,0,0.63
12-8-85-1,12,8,0.963524,0.036476,15.037076,10.64306,1,1,0,85,0,0.63
13-8-85-1,13,8,0.990544,0.009456,15.015564,9.615236,1,1,0,85,0,0.63
14-8-85-1,14,8,0.998948,0.001052,15.00244,8.587984,1,1,0,85,0,0.63
0-9-85-1,0,9,0.005308,0.994692,6.00894,15.002964,1,1,0,85,0,0.63
1-9-85-1,1,9,0.010276,0.989724,7.0107,15.005392,1,1,0,85,0,0.63
2-9-85-1,2,9,0.018976,0.981024,8.016904,15.007292,1,1,0,85,0,0.63
3-9-85-1,3,9,0.034584,0.965416,9.02732,15.009,1,1,0,85,0,0.63
4-9-85-1,4,9,0.059628,0.940372,10.023076,15.006716,1,1,0,85,0,0.63
5-9-85-1,5,9,0.102124,0.897876,11.028828,14.988352,1,1,0,85,0,0.63
6-9-85-1,6,9,0.168012,0.831988,12.002084,14.93628,1,1,0,85,0,0.63
7-9-85-1,7,9,0.261696,0.738304,12.920904,14.81398,1,1,0,85,0,0.63
8-9-85-1,8,9,0.3858,0.6142,13.740236,14.574832,1,1,0,85,0,0.63
9-9-85-1,9,9,0.532212,0.467788,14.39242,14.173548,1,1,0,85,0,0.63
10-9-85-1,10,9,0.687648,0.312352,14.823068,13.540416,1,1,0,85,0,0.63
11-9-85-1,11,9,0.82524,0.17476,15.030092,12.696472,1,1,0,85,0,0.63
12-9-85-1,12,9,0.925796,0.074204,15.064736,11.683448,1,1,0,85,0,0.63
13-9-85-1,13,9,0.978688,0.021312,15.03414,10.630224,1,1,0,85,0,0.63
14-9-85-1,14,9,0.99698,0.00302,15.00674,9.59584,1,1,0,85,0,0.63
0-10-85-1,0,10,0.001752,0.998248,5.005052,15.001436,1,1,0,85,0,0.63
1-10-85-1,1,10,0.003424,0.996576,6.002968,15.00342,1,1,0,85,0,0.63
2-10-85-1,2,10,0.007272,0.992728,7.006732,15.00584,1,1,0,85,0,0.63
3-10-85-1,3,10,0.013504,0.986496,8.007752,15.009304,1,1,0,85,0,0.63
4-10-85-1,4,10,0.02682,0.97318,9.031292,15.015068,1,1,0,85,0,0.63
5-10-85-1,5,10,0.049144,0.950856,10.036048,15.0172,1,1,0,85,0,0.63
6-10-85-1,6,10,0.08834,0.91166,11.05648,15.011984,1,1,0,85,0,0.63
7-10-85-1,7,10,0.1494,0.8506,12.05056,14.990528,1,1,0,85,0,0.63
8-10-85-1,8,10,0.244164,0.755836,13.008368,14.903176,1,1,0,85,0,0.63
9-10-85-1,9,10,0.374044,0.625956,13.855556,14.70558,1,1,0,85,0,0.63
10-10-85-1,10,10,0.536316,0.463684,14.530532,14.307592,1,1,0,85,0,0.63
